activity,timestamp,x-axis,y-axis,z-axis
Rotate,17/9/2020 16:07:21.718,-0.444611,-0.078064,9.899307
Busy,17/9/2020 16:13:15.946,-0.433838,-0.073273,9.918457
Rotate,17/9/2020 16:06:09.696,-0.45178199999999996,-0.070877,9.905289
Pan,17/9/2020 16:08:25.359,-0.448196,-0.068481,9.914856
Idle,17/9/2020 16:04:50.746,-0.444611,-0.07925399999999999,9.907684
Pan,17/9/2020 16:08:21.767,-0.445801,-0.080444,9.883742999999999
Idle,17/9/2020 16:04:14.71,-0.449387,-0.078064,9.896912
Pan,17/9/2020 16:10:16.759,-0.44459499999999996,-0.07208300000000001,9.894516000000001
Idle,17/9/2020 16:02:40.806,-0.452988,-0.098419,9.906479
Idle,17/9/2020 16:04:25.51,-0.467346,-0.08046,9.894516000000001
Idle,17/9/2020 16:02:29.932,-0.45776400000000006,-0.10919200000000001,9.91008
Idle,17/9/2020 16:03:20.58,-0.452988,-0.087631,9.91008
Busy,17/9/2020 16:12:29.195,-0.433838,-0.069687,9.898102
Rotate,17/9/2020 16:06:52.883,-0.443405,-0.08165,9.91008
Pan,17/9/2020 16:09:37.278,-0.44101,-0.066086,9.905289
Busy,17/9/2020 16:11:49.672,-0.430237,-0.06369,9.886139
Idle,17/9/2020 16:02:48.057,-0.449387,-0.110382,9.91127
Pan,17/9/2020 16:10:20.343,-0.44699099999999997,-0.068481,9.902892999999999
Rotate,17/9/2020 16:05:22.874,-0.443405,-0.074463,9.889725
Idle,17/9/2020 16:04:54.327,-0.46376000000000006,-0.08046,9.912476
Idle,17/9/2020 16:04:57.915,-0.43502799999999997,-0.08284,9.900497
Busy,17/9/2020 16:14:13.504,-0.43621800000000005,-0.068481,9.893326
Idle,17/9/2020 16:02:51.682,-0.448196,-0.10321,9.906494
Rotate,17/9/2020 16:05:58.891,-0.443405,-0.066086,9.904099
Idle,17/9/2020 16:02:40.808,-0.45896899999999996,-0.097214,9.905289
Idle,17/9/2020 16:04:47.154,-0.443405,-0.08404500000000001,9.907684
Pan,17/9/2020 16:10:31.163,-0.43502799999999997,-0.076859,9.899307
Busy,17/9/2020 16:12:32.789,-0.452988,-0.066086,9.894516000000001
Idle,17/9/2020 16:02:55.308,-0.464966,-0.094818,9.914871
Rotate,17/9/2020 16:06:13.278,-0.436234,-0.076874,9.895706
Rotate,17/9/2020 16:06:13.281,-0.45178199999999996,-0.075668,9.906479
Busy,17/9/2020 16:12:21.975,-0.43382299999999996,-0.073273,9.864578
Busy,17/9/2020 16:13:26.71,-0.45178199999999996,-0.050537,9.874161
Idle,17/9/2020 16:03:02.525,-0.46136499999999997,-0.097214,9.901703
Idle,17/9/2020 16:04:00.266,-0.444611,-0.085236,9.883742999999999
Busy,17/9/2020 16:13:26.71,-0.433838,-0.067291,9.908875
Rotate,17/9/2020 16:05:40.852,-0.43981899999999996,-0.08046,9.900497
Idle,17/9/2020 16:03:06.15,-0.450592,-0.090027,9.89093
Busy,17/9/2020 16:11:38.856,-0.438629,-0.06489600000000001,9.864594
Idle,17/9/2020 16:03:42.21,-0.45178199999999996,-0.094818,9.913666000000001
Busy,17/9/2020 16:13:23.115,-0.431442,-0.0625,9.875366
Rotate,17/9/2020 16:07:00.051,-0.452988,-0.07925399999999999,9.905289
Idle,17/9/2020 16:02:55.309,-0.43981899999999996,-0.102005,9.906479
Idle,17/9/2020 16:03:02.526,-0.4422,-0.099609,9.907684
Busy,17/9/2020 16:12:47.184,-0.45178199999999996,-0.066086,9.863388
Busy,17/9/2020 16:12:43.598,-0.443405,-0.06489600000000001,9.905289
Busy,17/9/2020 16:14:09.915,-0.445801,-0.067291,9.901703
Pan,17/9/2020 16:09:40.866,-0.448196,-0.075668,9.913666000000001
Busy,17/9/2020 16:11:42.448,-0.44101,-0.070877,9.896912
Rotate,17/9/2020 16:05:58.891,-0.443405,-0.07208300000000001,9.904099
Busy,17/9/2020 16:11:53.252,-0.44699099999999997,-0.070877,9.893311
Busy,17/9/2020 16:11:53.253,-0.43621800000000005,-0.067291,9.874161
Busy,17/9/2020 16:13:15.944,-0.44101,-0.060104,9.86937
Idle,17/9/2020 16:04:11.114,-0.45178199999999996,-0.08165,9.917252000000001
Pan,17/9/2020 16:09:33.673,-0.43981899999999996,-0.07208300000000001,9.908875
Idle,17/9/2020 16:02:55.309,-0.45178199999999996,-0.088837,9.905289
Busy,17/9/2020 16:13:23.115,-0.447006,-0.061295,9.902892999999999
Busy,17/9/2020 16:12:43.597,-0.449402,-0.05651900000000001,9.878952
Rotate,17/9/2020 16:06:16.875,-0.45178199999999996,-0.070877,9.902892999999999
Busy,17/9/2020 16:11:56.848,-0.443405,-0.055313,9.917252000000001
Idle,17/9/2020 16:04:25.51,-0.43621800000000005,-0.088837,9.893311
Rotate,17/9/2020 16:05:40.851,-0.44101,-0.073273,9.895706
Idle,17/9/2020 16:02:44.43,-0.450592,-0.099609,9.898102
Rotate,17/9/2020 16:07:18.126,-0.44221499999999997,-0.074463,9.906494
Pan,17/9/2020 16:09:19.286,-0.44699099999999997,-0.075668,9.905289
Rotate,17/9/2020 16:07:14.499,-0.448196,-0.073273,9.896912
Rotate,17/9/2020 16:07:46.92,-0.450592,-0.058914,9.91008
Pan,17/9/2020 16:09:01.299,-0.437424,-0.070877,9.898102
Pan,17/9/2020 16:09:19.286,-0.45657299999999995,-0.068481,9.900497
Pan,17/9/2020 16:08:32.541,-0.448196,-0.070877,9.89212
Idle,17/9/2020 16:02:37.181,-0.46376000000000006,-0.094818,9.91008
Idle,17/9/2020 16:04:11.118,-0.44459499999999996,-0.07925399999999999,9.894516000000001
Rotate,17/9/2020 16:05:48.042,-0.44699099999999997,-0.074478,9.898102
Busy,17/9/2020 16:12:04.029,-0.43263199999999996,-0.067291,9.902892999999999
Idle,17/9/2020 16:03:24.203,-0.448196,-0.09123200000000001,9.91008
Pan,17/9/2020 16:08:46.93,-0.449387,-0.074463,9.91008
Busy,17/9/2020 16:12:40,-0.445801,-0.076874,9.908875
Busy,17/9/2020 16:12:54.366,-0.443405,-0.060104,9.888535000000001
Busy,17/9/2020 16:12:32.79,-0.426651,-0.074478,9.888535000000001
